"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",,
"GNMX","Aevi Genomic Medicine, Inc.","0.2","$12.95M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","3.42","$213.5M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",,
"AGEN","Agenus Inc.","3.48","$456.25M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",,
"AGRX","Agile Therapeutics, Inc.","0.9052","$31.12M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","19.17","$451.17M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","54.08","$3.15B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","28","$930.05M","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",,
"AGNC","AGNC Investment Corp.","17.8","$9.55B","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",,
"AGNCB","AGNC Investment Corp.","25.5","$8.83B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",,
"AGNCN","AGNC Investment Corp.","25.54","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",,
"AGFS","AgroFresh Solutions, Inc.","3.9","$196.71M","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.1307","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","1.69","$24.92M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","24.09","$1.49B","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","28.731","$58.31M","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
